"S.No.","Division..Seat.No.","Name.of.Member","State","No.of.days.member.signed.the.register","Total","Session"
232,243,"Smt. Rajani Patil","MH ","17",17,236
233,244,"Smt. Wansuk Syiem","MGH ","17",17,236
234,245,"Dr. Vijaylaxmi Sadho","MP ","17",17,236
235,246,"Smt. Naznin Faruque","AS ","11",17,236
236,247,"Shri P. Kannan","PUD ","6",17,236
237,248,"Shri Ashk Ali Tak","RJ ","17",17,236
238,248,"Shri Santiuse Kujur","AS ","17",17,236
239,249,"Dr. Pradeep Kumar Balmuchu","JHK ","17",17,236
240,250,"Shri Mahendra Singh Mahra","UTK ","17",17,236
1,1,"Shri Arun Jaitley","UP ","M",20,237
2,3,"Shri Manohar Parrikar","UP ","M",20,237
3,4,"Shri Vijay Goel","RJ ","20",20,237
4,5,"Smt. Nirmala Sitharaman","KAR ","M",20,237
5,6,"Shri Mukhtar Abbas Naqvi","JHK ","M",20,237
6,7,"Shri Dharmendra Pradhan","MP ","M",20,237
7,7,"Shri Anil Madhav Dave","MP ","18",20,237
8,7,"Shri Avinash Rai Khanna","PB ","19",20,237
9,11,"Dr. Chandan Mitra","MP ","12",20,237
10,12,"Dr. Prabhakar Kore","KAR ","15",20,237
11,12,"Shri Nand Kumar Sai","CHT ","16",20,237
12,13,"Shri Tarun Vijay","UTK ","19",20,237
13,13,"Shri Meghraj Jain","MP ","19",20,237
14,14,"Shri Aayanur Manjunatha","KAR ","18",20,237
15,14,"Shri Ram Narain Dudi","RJ ","19",20,237
16,15,"Shri Narayan Lal Panchariya","RJ ","19",20,237
17,16,"Shri Chunibhai Kanjibhai Gohel","GJ ","18",20,237
18,17,"Mahant Shambhuprasadji Tundiya","GJ ","14",20,237
19,18,"Shri R. K. Sinha","BR ","15",20,237
20,23,"Shri Amar Shankar Sable","MH ","20",20,237
21,24,"Shri M. Venkaiah Naidu","RJ ","M",20,237
22,25,"Shri Ravi Shankar Prasad","BR ","M",20,237
23,26,"Shri Thaawarchand Gehlot","MP ","M",20,237
24,27,"Shri Suresh Prabhu","AP ","M",20,237
25,28,"Shri Jagat Prakash Nadda","HP ","M",20,237
26,29,"Shri Prakash Javadekar","MH ","M",20,237
27,30,"Chaudhary Birender Singh","HR ","M",20,237
28,31,"Shri Piyush Goyal","MH ","M",20,237
29,32,"Smt. Smriti Zubin Irani","GJ ","M",20,237
30,33,"Shri Mansukh Mandaviya","GJ ","12",20,237
31,34,"Shri M. J. Akbar","MP ","17",20,237
32,35,"Shri Ramdas Athawale","MH ","19",20,237
33,35,"Shri V.P. Singh Badnore","RJ ","20",20,237
34,37,"Sardar Sukhdev Singh Dhindsa","PB ","15",20,237
35,38,"Shri Sanjay Raut","MH ","17",20,237
36,39,"Dr. Najma A. Heptulla","MP ","M",20,237
37,40,"Shri Bhupender Yadav","RJ ","18",20,237
38,41,"Smt. Bimla Kashyap Sood","HP ","20",20,237
39,41,"Dr. C.P. Thakur","BR ","19",20,237
40,42,"Shri Prabhat Jha","MP ","19",20,237
41,43,"Dr. Satyanarayan Jatiya","MP ","20",20,237
42,44,"Sardar Balwinder Singh Bhunder","PB ","20",20,237
43,45,"Shri Naresh Gujral","PB ","20",20,237
44,47,"Shri Basawaraj Patil","KAR ","20",20,237
45,47,"Shri Dilipbhai Pandya","GJ ","19",20,237
46,48,"Dr. Bhushan Lal Jangde","CHT ","19",20,237
47,48,"Shri Parimal Nathwani","JHK ","6",20,237
48,50,"Shri Ajay Sancheti","MH ","14",20,237
49,51,"Shri Vinay Katiyar","UP ","16",20,237
50,52,"Shri Rajeev Chandrasekhar","KAR ","18",20,237
51,53,"Shri Rajkumar Dhoot","MH ","8",20,237
52,55,"Shri Rangasayee Ramakrishna","KAR ","20",20,237
53,56,"Shri Shankarbhai N. Vegad","GJ ","18",20,237
54,60,"Smt. Gundu Sudharani","TG ","13",20,237
55,60,"Shri Ranvijay Singh Judev","CHT ","20",20,237
56,61,"Shri Paul Manoj Pandian","TN ","15",20,237
57,62,"Shri Anil Desai","MH ","20",20,237
58,64,"Shri Shamsher Singh Manhas","J & K ","20",20,237
59,65,"Shri Lal Sinh Vadodia","GJ ","15",20,237
60,72,"Shri A. W. Rabi Bernard","TN ","15",20,237
61,74,"Shri Biswajit Daimary","AS ","14",20,237
62,75,"Shri Sharad Pawar","MH ","15",20,237
63,76,"Shri Ram Chandra Prasad Singh","BR ","18",20,237
64,77,"Shri A. Navaneethakrishnan","TN ","20",20,237
65,78,"Shri Y. S. Chowdary","AP ","M",20,237
66,79,"Shri Devender Goud T.","AP ","14",20,237
67,80,"Shri Ram Nath Thakur","BR ","20",20,237
68,83,"Shri Sukhendu Sekhar Ray","WB ","15",20,237
69,84,"Smt. Kahkashan Perween","BR ","20",20,237
70,85,"Smt. Vijila Sathyananth","TN ","19",20,237
71,85,"*Shri Baishnab Parida","OR ","11",20,237
72,86,"Dr. V. Maitreyan","TN ","18",20,237
73,87,"Shri Mukul Roy","WB ","20",20,237
74,87,"Shri A. K. Selvaraj","TN ","20",20,237
75,88,"Dr. Kanwar Deep Singh","WB ","20",20,237
76,89,"Dr. Mahendra Prasad","BR ","18",20,237
77,90,"Shri Bashistha Narain Singh","BR ","19",20,237
78,92,"Shri T. Rathinavel","TN ","20",20,237
79,93,"Shri K. R. Arjunan","TN ","20",20,237
80,93,"Dr. K.P. Ramalingam","TN ","18",20,237
81,94,"Shri D.P. Tripathi","MH ","20",20,237
82,94,"Ms. Dola Sen","WB ","18",20,237
83,95,"Shri K.C. Tyagi","BR ","19",20,237
84,96,"Shri Md. Nadimul Haque","WB ","19",20,237
85,99,"Ms. Anu Aga","NOM. ","14",20,237
86,101,"*Shri K. Parasaran","NOM. ","13",20,237
87,101,"Shri Javed Akhtar","NOM. ","11",20,237
88,102,"Smt. B. Jayashree","NOM. ","19",20,237
89,102,"Ms. Rekha","NOM. ","1",20,237
90,103,"Shri Sachin Ramesh Tendulkar","NOM. ","1",20,237
91,104,"Shri K.T.S. Tulsi","NOM. ","17",20,237
92,104,"*Shri D. Bandyopadhyay","WB ","13",20,237
93,104,"Dr. Vijay Mallya","KAR ","4",20,237
94,106,"Shri Bhupinder Singh","OR ","17",20,237
95,108,"Dr. Anil Kumar Sahani","BR ","19",20,237
96,109,"Dr. Sasikala Pushpa Ramaswamy","TN ","20",20,237
97,111,"Prof. Mrinal Miri","NOM. ","20",20,237
98,111,"Shri N. Gokulakrishnan","PUD ","18",20,237
99,112,"Shri Hishey Lachungpa","SK ","10",20,237
100,113,"Shri Garikapati Mohan Rao","TG ","11",20,237
101,120,"Dr. R. Lakshmanan","TN ","17",20,237
102,121,"Shri S. Muthukaruppan","TN ","20",20,237
103,121,"Shri S. Thangavelu","TN ","20",20,237
104,123,"Shri Nazir Ahmed Laway","J & K ","17",20,237
105,124,"Shri A.V. Swamy","OR ","19",20,237
106,124,"Mir Mohammad Fayaz","J & K ","13",20,237
107,125,"Shri Vivek Gupta","WB ","17",20,237
108,126,"Shri Derek O Brien","WB ","19",20,237
109,126,"Shri Sitaram Yechury","WB ","16",20,237
110,127,"Prof. Ram Gopal Yadav","UP ","19",20,237
111,128,"Shri Dilip Kumar Tirkey","OR ","20",20,237
112,129,"Km. Mayawati","UP ","20",20,237
113,129,"Dr. K. Keshava Rao","AP ","17",20,237
114,130,"Shri Tapan Kumar Sen","WB ","18",20,237
115,130,"Shri C.M. Ramesh","AP ","14",20,237
116,131,"*Shri Naresh Agrawal","UP ","11",20,237
117,132,"Shri Satish Chandra Misra","UP ","17",20,237
118,132,"Shri A.U. Singh Deo","OR ","7",20,237
119,133,"Smt. Kanimozhi","TN ","12",20,237
120,134,"Shri T.K. Rangarajan","TN ","15",20,237
121,135,"Shri D. Raja","TN ","19",20,237
122,137,"Shri Vishambhar Prasad Nishad","UP ","19",20,237
123,139,"Shri Ambeth Rajan","UP ","20",20,237
124,139,"Smt. Jharna Das Baidya","TR ","10",20,237
125,140,"Smt. Sarojini Hembram","OR ","10",20,237
126,141,"Smt. Jaya Bachchan","UP ","18",20,237
127,142,"Shri Kiranmay Nanda","UP ","17",20,237
128,142,"Smt. Kanak Lata Singh","UP ","20",20,237
129,142,"Shri Ravi Prakash Verma","UP ","19",20,237
130,143,"Shri Javed Ali Khan","UP ","20",20,237
131,144,"Shri Narendra Kumar Swain","OR ","7",20,237
132,144,"Shri K.N. Balagopal","KR ","17",20,237
133,145,"Shri Anubhav Mohanty","OR ","20",20,237
134,146,"Shri Narendra Kumar Kashyap","UP ","18",20,237
135,146,"Shri Tiruchi Siva","TN ","20",20,237
136,147,"Shri Veer Singh","UP ","15",20,237
137,148,"Smt. Thota Seetharama Lakshmi","AP ","16",20,237
138,149,"Smt. Vandana Chavan","MH ","9",20,237
139,150,"Dr. T.N. Seema","KR ","16",20,237
140,151,"Shri C.P. Narayanan","KR ","20",20,237
141,152,"Shri Munquad Ali","UP ","18",20,237
142,153,"Shri Rajaram","UP ","20",20,237
143,154,"Shri Darshan Singh Yadav","UP ","15",20,237
144,154,"Shri Neeraj Shekhar","UP ","20",20,237
145,156,"Prof. Jogen Chowdhury","WB ","8",20,237
146,156,"*Shri Pyarimohan Mohapatra","OR ","10",20,237
147,157,"Shri Ahamed Hassan","WB ","11",20,237
148,157,"Shri Pavan Kumar Varma","BR ","19",20,237
149,159,"Shri Majeed Memon","MH ","17",20,237
150,161,"Shri Alok Tiwari","UP ","18",20,237
151,162,"Shri Arvind Kumar Singh","UP ","16",20,237
152,165,"Chaudhary Munvvar Saleem","UP ","20",20,237
153,165,"Shri K.K. Ragesh","KR ","20",20,237
154,167,"Shri Sharad Yadav","BR ","19",20,237
155,168,"Shri Ali Anwar Ansari","BR ","18",20,237
156,169,"Shri Ritabrata Banerjee","WB ","17",20,237
157,169,"Shri Gulam Rasool Balyawi","BR ","18",20,237
158,170,"Shri Sanjay Dattatraya Kakade","MH ","1",20,237
159,170,"Shri Jugul Kishore","UP ","17",20,237
160,175,"Shri Salim Ansari","UP ","20",20,237
161,176,"Shri Rajpal Singh Saini","UP ","20",20,237
162,177,"Shri Anand Sharma","HP ","20",20,237
163,178,"Shri A.K. Antony","KR ","15",20,237
164,179,"Dr. Karan Singh","DL ","20",20,237
165,180,"Dr. Manmohan Singh","AS ","20",20,237
166,181,"Shri Ahmed Patel","GJ ","11",20,237
167,182,"Shri Digvijaya Singh","MP ","19",20,237
168,183,"Shri K. Rahman Khan","KAR ","15",20,237
169,184,"Shri Motilal Vora","CHT ","20",20,237
170,184,"Shri Janardan Dwivedi","DL ","19",20,237
171,185,"Shri Prem Chand Gupta","JHK ","18",20,237
172,186,"Shri Praful Patel","MH ","12",20,237
173,187,"Shri Oscar Fernandes","KAR ","14",20,237
174,188,"Shri Raj Babbar","UTK ","16",20,237
175,189,"Shri Jairam Ramesh","KAR ","14",20,237
176,190,"Kumari Selja","HR ","19",20,237
177,191,"Dr. T. Subbarami Reddy","AP ","15",20,237
178,191,"Shri Rajeev Shukla","MH ","18",20,237
179,192,"Shri Ram Jethmalani","BR ","17",20,237
180,193,"Shri Narendra Budania","RJ ","19",20,237
181,194,"Shri P.L. Punia","UP ","20",20,237
182,195,"Dr. K. Chiranjeevi","AP ","6",20,237
183,195,"Shri Mohd. Ali Khan","AP ","20",20,237
184,196,"Shri Madhusudan Mistry","GJ ","16",20,237
185,198,"Shri Mani Shankar Aiyar","NOM. ","16",20,237
186,200,"Shri V. Hanumantha Rao","TG ","16",20,237
187,201,"Shri Jesudasu Seelam","AP ","17",20,237
188,202,"Shri Abdul Wahab","KR ","7",20,237
189,202,"Shri Shadi Lal Batra","HR ","20",20,237
190,203,"Shri Parvez Hashmi","DL ","19",20,237
191,204,"Dr. K.V.P. Ramachandra Rao","TG ","20",20,237
192,205,"Shri Husain Dalwai","MH ","19",20,237
193,206,"Dr. Sanjay Sinh","AS ","18",20,237
194,207,"Dr. Chandrapal Singh Yadav","UP ","16",20,237
195,208,"Dr. Tazeen Fatma","UP ","20",20,237
196,209,"Dr. Bhalchandra Mungekar","NOM. ","19",20,237
197,210,"Shri Sanjiv Kumar","JHK ","18",20,237
198,211,"Shri D. Kupendra Reddy","KAR ","11",20,237
199,212,"Shri Ananda Bhaskar Rapolu","TG ","20",20,237
200,214,"Shri Shantaram Naik","GOA ","19",20,237
201,214,"Shri Praveen Rashtrapal","GJ ","15",20,237
202,214,"Shri Ronald Sapa Tlau","MZ ","17",20,237
203,215,"Shri Ranjib Biswal","OR ","14",20,237
204,219,"Shri Ram Kumar Kashyap","HR ","20",20,237
205,222,"Shri Pankaj Bora","AS ","19",20,237
206,224,"Shri Palvai Govardhan Reddy","TG ","15",20,237
207,225,"Shri Avinash Pande","MH ","15",20,237
208,226,"*Haji Abdul Salam","MN ","7",20,237
209,226,"Shri Joy Abraham","KR ","12",20,237
210,227,"Shri Dhiraj Prasad Sahu","JHK ","9",20,237
211,228,"Shri Ghulam Nabi Azad","J & K ","LOP",20,237
212,229,"Prof. P.J. Kurien","KR ","HDC",20,237
213,229,"Shri Harivansh","BR ","HDC",20,237
214,230,"Shri Satyavrat Chaturvedi","MP ","16",20,237
215,230,"Shri Bhubaneswar Kalita","AS ","17",20,237
216,231,"Smt. Ambika Soni","PB ","19",20,237
217,232,"Smt. Mohsina Kidwai","CHT ","20",20,237
218,232,"Shri P. Bhattacharya","WB ","18",20,237
219,233,"Shri B.K. Hariprasad","KAR ","19",20,237
220,233,"Shri Ashwani Kumar","PB ","18",20,237
221,233,"Shri Pramod Tiwari","UP ","20",20,237
222,234,"Shri Vayalar Ravi","KR ","19",20,237
223,235,"Dr. Abhishek Manu Singhvi","WB ","10",20,237
224,236,"Smt. Viplove Thakur","HP ","20",20,237
225,236,"Smt. Renuka Chowdhury","AP ","20",20,237
226,237,"Shri Satish Sharma","UP ","17",20,237
227,237,"Shri Mukut Mithi","AR ","20",20,237
228,239,"Prof. M.V. Rajeev Gowda","KAR ","20",20,237
229,240,"Dr. M.S. Gill","PB ","17",20,237
230,241,"Dr. E.M. Sudarsana Natchiappan","TN ","20",20,237
231,242,"Shri Vijay Jawaharlal Darda","MH ","15",20,237
232,243,"Smt. Rajani Patil","MH ","20",20,237
233,244,"Smt. Wansuk Syiem","MGH ","20",20,237
234,245,"Dr. Vijaylaxmi Sadho","MP ","20",20,237
235,246,"Smt. Naznin Faruque","AS ","16",20,237
236,248,"Shri Ashk Ali Tak","RJ ","20",20,237
237,248,"Shri Santiuse Kujur","AS ","19",20,237
238,249,"Dr. Pradeep Kumar Balmuchu","JHK ","14",20,237
239,250,"Shri Mahendra Singh Mahra","UTK ","20",20,237
1,1,"Shri Arun Jaitley","UP ","M",16,238
2,3,"Shri Manohar Parrikar","UP ","M",16,238
3,5,"Smt. Nirmala Sitharaman","KAR ","M",16,238
4,6,"Shri Mukhtar Abbas Naqvi","JHK ","M",16,238
5,7,"Shri Dharmendra Pradhan","MP ","M",16,238
6,7,"Shri Anil Madhav Dave","MP ","13",16,238
7,7,"Shri Avinash Rai Khanna","PB ","15",16,238
8,11,"Dr. Chandan Mitra","MP ","15",16,238
9,12,"Dr. Prabhakar Kore","KAR ","14",16,238
10,12,"Shri Nand Kumar Sai","CHT ","14",16,238
11,13,"Shri Tarun Vijay","UTK ","15",16,238
12,13,"Shri Meghraj Jain","MP ","16",16,238
13,14,"Shri Aayanur Manjunatha","KAR ","14",16,238
14,14,"Shri Ram Narain Dudi","RJ ","16",16,238
15,15,"Shri Narayan Lal Panchariya","RJ ","12",16,238
16,16,"Shri Chunibhai Kanjibhai Gohel","GJ ","15",16,238
17,17,"Mahant Shambhuprasadji Tundiya","GJ ","16",16,238
18,18,"Shri R. K. Sinha","BR ","11",16,238
19,23,"Shri Amar Shankar Sable","MH ","15",16,238
20,24,"Shri M. Venkaiah Naidu","RJ ","M",16,238
21,25,"Shri Ravi Shankar Prasad","BR ","M",16,238
22,26,"Shri Thaawarchand Gehlot","MP ","M",16,238
23,27,"Shri Suresh Prabhu","AP ","M",16,238
24,28,"Shri Jagat Prakash Nadda","HP ","M",16,238
25,29,"Shri Prakash Javadekar","MH ","M",16,238
26,30,"Chaudhary Birender Singh","HR ","M",16,238
27,31,"Shri Piyush Goyal","MH ","M",16,238
28,32,"Smt. Smriti Zubin Irani","GJ ","M",16,238
29,33,"Shri Mansukh Mandaviya","GJ ","13",16,238
30,34,"Shri M. J. Akbar","MP ","16",16,238
31,35,"Shri Ramdas Athawale","MH ","12",16,238
32,35,"Shri V.P. Singh Badnore","RJ ","16",16,238
33,37,"Sardar Sukhdev Singh Dhindsa","PB ","13",16,238
34,38,"Shri Sanjay Raut","MH ","12",16,238
35,39,"Dr. Najma A. Heptulla","MP ","M",16,238
36,40,"Shri Bhupender Yadav","RJ ","15",16,238
37,41,"Smt. Bimla Kashyap Sood","HP ","16",16,238
38,41,"Dr. C.P. Thakur","BR ","14",16,238
39,42,"Shri Prabhat Jha","MP ","15",16,238
40,43,"Dr. Satyanarayan Jatiya","MP ","16",16,238
41,44,"Sardar Balwinder Singh Bhunder","PB ","16",16,238
42,45,"Shri Naresh Gujral","PB ","16",16,238
43,47,"Shri Basawaraj Patil","KAR ","16",16,238
44,47,"Shri Dilipbhai Pandya","GJ ","16",16,238
45,48,"Dr. Bhushan Lal Jangde","CHT ","16",16,238
46,48,"Shri Parimal Nathwani","JHK ","3",16,238
47,50,"Shri Ajay Sancheti","MH ","15",16,238
48,51,"Shri Vinay Katiyar","UP ","16",16,238
49,52,"*Shri Rajeev Chandrasekhar","KAR ","15",16,238
50,53,"Shri Rajkumar Dhoot","MH ","7",16,238
51,55,"Shri Rangasayee Ramakrishna","KAR ","16",16,238
52,56,"Shri Shankarbhai N. Vegad","GJ ","15",16,238
53,60,"Smt. Gundu Sudharani","TG ","2",16,238
54,60,"Shri Ranvijay Singh Judev","CHT ","16",16,238
55,61,"Shri Paul Manoj Pandian","TN ","11",16,238
56,62,"Shri Anil Desai","MH ","16",16,238
57,64,"Shri Shamsher Singh Manhas","J & K ","16",16,238
58,65,"Shri Lal Sinh Vadodia","GJ ","11",16,238
59,72,"Shri A. W. Rabi Bernard","TN ","13",16,238
60,74,"Shri Biswajit Daimary","AS ","5",16,238
61,75,"Shri Sharad Pawar","MH ","16",16,238
62,76,"Shri Ram Chandra Prasad Singh","BR ","13",16,238
63,77,"Shri A. Navaneethakrishnan","TN ","14",16,238
64,78,"Shri Y. S. Chowdary","AP ","M",16,238
65,79,"Shri Devender Goud T.","AP ","15",16,238
66,80,"Shri Ram Nath Thakur","BR ","16",16,238
67,83,"Shri Sukhendu Sekhar Ray","WB ","16",16,238
68,84,"Smt. Kahkashan Perween","BR ","15",16,238
69,85,"Smt. Vijila Sathyananth","TN ","16",16,238
70,85,"Shri Baishnab Parida","OR ","15",16,238
71,86,"Dr. V. Maitreyan","TN ","10",16,238
72,87,"Shri Mukul Roy","WB ","5",16,238
73,87,"Shri A. K. Selvaraj","TN ","13",16,238
74,88,"Dr. Kanwar Deep Singh","WB ","16",16,238
75,89,"Dr. Mahendra Prasad","BR ","16",16,238
76,90,"Shri Bashistha Narain Singh","BR ","16",16,238
77,92,"Shri T. Rathinavel","TN ","13",16,238
78,93,"Shri K. R. Arjunan","TN ","12",16,238
79,93,"Dr. K.P. Ramalingam","TN ","15",16,238
80,94,"Shri D.P. Tripathi","MH ","16",16,238
81,94,"Ms. Dola Sen","WB ","4",16,238
82,95,"Shri K.C. Tyagi","BR ","14",16,238
83,96,"Shri Md. Nadimul Haque","WB ","15",16,238
84,99,"Ms. Anu Aga","NOM. ","9",16,238
85,101,"Shri K. Parasaran","NOM. ","14",16,238
86,101,"Shri Javed Akhtar","NOM. ","11",16,238
87,102,"*Smt. B. Jayashree","NOM. ","12",16,238
88,102,"Ms. Rekha","NOM. ","1",16,238
89,103,"Shri Sachin Ramesh Tendulkar","NOM. ","2",16,238
90,104,"Shri D. Bandyopadhyay","WB ","14",16,238
91,104,"Dr. Vijay Mallya","KAR ","1",16,238
92,104,"Shri K.T.S. Tulsi","NOM. ","16",16,238
93,106,"Shri Bhupinder Singh","OR ","16",16,238
94,108,"Dr. Anil Kumar Sahani","BR ","13",16,238
95,109,"Dr. Sasikala Pushpa Ramaswamy","TN ","16",16,238
96,111,"Prof. Mrinal Miri","NOM. ","14",16,238
97,111,"Shri N. Gokulakrishnan","PUD ","13",16,238
98,112,"Shri Hishey Lachungpa","SK ","7",16,238
99,113,"Shri Garikapati Mohan Rao","TG ","8",16,238
100,120,"Dr. R. Lakshmanan","TN ","13",16,238
101,120,"Shri Ishwarlal Shankarlal Jain","MH ","14",16,238
102,121,"Shri S. Thangavelu","TN ","15",16,238
103,121,"Shri S. Muthukaruppan","TN ","11",16,238
104,123,"Shri Nazir Ahmed Laway","J & K ","16",16,238
105,124,"Mir Mohammad Fayaz","J & K ","15",16,238
106,124,"Shri A.V. Swamy","OR ","16",16,238
107,125,"Shri Vivek Gupta","WB ","15",16,238
108,126,"Shri Derek O Brien","WB ","7",16,238
109,126,"Shri Sitaram Yechury","WB ","14",16,238
110,127,"Prof. Ram Gopal Yadav","UP ","14",16,238
111,128,"Shri Dilip Kumar Tirkey","OR ","13",16,238
112,129,"Km. Mayawati","UP ","16",16,238
113,129,"Dr. K. Keshava Rao","AP ","16",16,238
114,130,"Shri Tapan Kumar Sen","WB ","14",16,238
115,130,"Shri C.M. Ramesh","AP ","9",16,238
116,131,"Shri Naresh Agrawal","UP ","9",16,238
117,132,"Shri Satish Chandra Misra","UP ","8",16,238
118,132,"Shri A.U. Singh Deo","OR ","10",16,238
119,133,"Smt. Kanimozhi","TN ","6",16,238
120,134,"Shri T.K. Rangarajan","TN ","15",16,238
121,135,"Shri D. Raja","TN ","16",16,238
122,137,"Shri Vishambhar Prasad Nishad","UP ","16",16,238
123,139,"Shri Ambeth Rajan","UP ","16",16,238
124,139,"Smt. Jharna Das Baidya","TR ","12",16,238
125,140,"Smt. Sarojini Hembram","OR ","12",16,238
126,141,"Smt. Jaya Bachchan","UP ","15",16,238
127,142,"Shri Kiranmay Nanda","UP ","11",16,238
128,142,"Smt. Kanak Lata Singh","UP ","15",16,238
129,142,"Shri Ravi Prakash Verma","UP ","12",16,238
130,143,"Shri Javed Ali Khan","UP ","15",16,238
131,144,"Shri Narendra Kumar Swain","OR ","10",16,238
132,144,"Shri K.N. Balagopal","KR ","10",16,238
133,145,"Shri Anubhav Mohanty","OR ","15",16,238
134,146,"Shri Narendra Kumar Kashyap","UP ","13",16,238
135,146,"Shri Tiruchi Siva","TN ","13",16,238
136,147,"Shri Veer Singh","UP ","15",16,238
137,148,"Smt. Thota Seetharama Lakshmi","AP ","14",16,238
138,149,"Smt. Vandana Chavan","MH ","7",16,238
139,150,"Dr. T.N. Seema","KR ","11",16,238
140,151,"Shri C.P. Narayanan","KR ","16",16,238
141,152,"Shri Munquad Ali","UP ","15",16,238
142,153,"Shri Rajaram","UP ","14",16,238
143,154,"Shri Darshan Singh Yadav","UP ","13",16,238
144,154,"Shri Neeraj Shekhar","UP ","15",16,238
145,156,"Prof. Jogen Chowdhury","WB ","9",16,238
146,157,"Shri Ahamed Hassan","WB ","14",16,238
147,157,"Shri Pavan Kumar Varma","BR ","16",16,238
148,159,"Shri Majeed Memon","MH ","13",16,238
149,161,"Shri Alok Tiwari","UP ","14",16,238
150,162,"Shri Arvind Kumar Singh","UP ","13",16,238
151,165,"Chaudhary Munvvar Saleem","UP ","15",16,238
152,165,"Shri K.K. Ragesh","KR ","16",16,238
153,167,"Shri Sharad Yadav","BR ","13",16,238
154,168,"Shri Ali Anwar Ansari","BR ","15",16,238
155,169,"Shri Gulam Rasool Balyawi","BR ","15",16,238
156,169,"Shri Ritabrata Banerjee","WB ","16",16,238
157,170,"Shri Sanjay Dattatraya Kakade","MH ","4",16,238
158,170,"Shri Jugul Kishore","UP ","13",16,238
159,175,"Shri Salim Ansari","UP ","16",16,238
160,176,"Shri Rajpal Singh Saini","UP ","16",16,238
161,177,"Shri Anand Sharma","HP ","9",16,238
162,178,"Shri A.K. Antony","KR ","11",16,238
163,179,"Dr. Karan Singh","DL ","14",16,238
164,180,"Dr. Manmohan Singh","AS ","16",16,238
165,181,"Shri Ahmed Patel","GJ ","13",16,238
166,182,"Shri Digvijaya Singh","MP ","15",16,238
167,183,"Shri K. Rahman Khan","KAR ","14",16,238
168,184,"Shri Motilal Vora","CHT ","15",16,238
169,184,"Shri Janardan Dwivedi","DL ","16",16,238
170,185,"Shri Prem Chand Gupta","JHK ","14",16,238
171,186,"Shri Praful Patel","MH ","11",16,238
172,187,"Shri Oscar Fernandes","KAR ","14",16,238
173,188,"Shri Raj Babbar","UTK ","11",16,238
174,189,"Shri Jairam Ramesh","KAR ","16",16,238
175,190,"Kumari Selja","HR ","16",16,238
176,191,"Dr. T. Subbarami Reddy","AP ","11",16,238
177,191,"Shri Rajeev Shukla","MH ","16",16,238
178,192,"Shri Ram Jethmalani","BR ","14",16,238
179,193,"Shri Narendra Budania","RJ ","15",16,238
180,194,"Shri P.L. Punia","UP ","14",16,238
181,195,"Shri Mohd. Ali Khan","AP ","16",16,238
182,196,"Shri Madhusudan Mistry","GJ ","14",16,238
183,198,"Shri Mani Shankar Aiyar","NOM. ","14",16,238
184,200,"Shri V. Hanumantha Rao","TG ","13",16,238
185,201,"Shri Jesudasu Seelam","AP ","15",16,238
186,202,"Shri Abdul Wahab","KR ","5",16,238
187,202,"Shri Shadi Lal Batra","HR ","15",16,238
188,203,"Shri Parvez Hashmi","DL ","16",16,238
189,204,"Dr. K.V.P. Ramachandra Rao","TG ","16",16,238
190,205,"Shri Husain Dalwai","MH ","16",16,238
191,206,"Dr. Sanjay Sinh","AS ","16",16,238
192,207,"Dr. Chandrapal Singh Yadav","UP ","11",16,238
193,208,"Dr. Tazeen Fatma","UP ","9",16,238
194,209,"Dr. Bhalchandra Mungekar","NOM. ","16",16,238
195,210,"Shri Sanjiv Kumar","JHK ","13",16,238
196,211,"Shri D. Kupendra Reddy","KAR ","4",16,238
197,212,"Shri Ananda Bhaskar Rapolu","TG ","11",16,238
198,214,"Shri Shantaram Naik","GOA ","16",16,238
199,214,"Shri Praveen Rashtrapal","GJ ","15",16,238
200,214,"Shri Ronald Sapa Tlau","MZ ","16",16,238
201,215,"Shri Ranjib Biswal","OR ","11",16,238
202,219,"Shri Ram Kumar Kashyap","HR ","16",16,238
203,222,"Shri Pankaj Bora","AS ","9",16,238
204,224,"Shri Palvai Govardhan Reddy","TG ","15",16,238
205,225,"Shri Avinash Pande","MH ","13",16,238
206,226,"Haji Abdul Salam","MN ","16",16,238
207,226,"Shri Joy Abraham","KR ","8",16,238
208,227,"Shri Dhiraj Prasad Sahu","JHK ","15",16,238
209,228,"Shri Ghulam Nabi Azad","J & K ","LOP",16,238
210,229,"Prof. P.J. Kurien","KR ","HDC",16,238
211,229,"Shri Harivansh","BR ","HDC",16,238
212,230,"Shri Satyavrat Chaturvedi","MP ","14",16,238
213,230,"Shri Bhubaneswar Kalita","AS ","8",16,238
214,231,"Smt. Ambika Soni","PB ","15",16,238
215,232,"Smt. Mohsina Kidwai","CHT ","15",16,238
216,232,"Shri P. Bhattacharya","WB ","13",16,238
217,233,"Shri B.K. Hariprasad","KAR ","13",16,238
218,233,"Shri Ashwani Kumar","PB ","16",16,238
219,233,"Shri Pramod Tiwari","UP ","14",16,238
220,234,"Shri Vayalar Ravi","KR ","16",16,238
221,235,"Dr. Abhishek Manu Singhvi","WB ","4",16,238
222,236,"Smt. Viplove Thakur","HP ","12",16,238
223,236,"Smt. Renuka Chowdhury","AP ","15",16,238
224,237,"Shri Satish Sharma","UP ","16",16,238
225,237,"Shri Mukut Mithi","AR ","15",16,238
226,239,"Prof. M.V. Rajeev Gowda","KAR ","16",16,238
